##BLOCKS= 1          
Plate:	Plate#1	1.3	PlateFormat	FLEX	Fluorescence	TRUE	Raw	FALSE	237	360	1.52				1	565	1	10	96	530	Automatic	550			6	Medium			1	8	TimeTags	
	Temperature(¡C)	1	2	3	4	5	6	7	8	9	10	11	12		
	37.08	0.742	0.7434	0.7466	0.74	0.747	0.7444	0.7452	0.7384	0.7652	0.8148				
		1491.577	1677.261	1591.589	1572.54	1600.11	1597.635	1666.384	1642.562	1610.185	1491.459				
		0.9708	0.9538	0.925	0.8976	0.9054	0.9036	0.9028	0.8976	0.9236	0.9732				
		1431.006	1702.359	1601.289	1693.269	1688.439	1685.483	1720.617	1725.45	1670.949	1529.212				
		1.1324	1.1122	1.085	1.048	1.067	1.0628	1.0628	1.0464	1.082	1.1332				
		1523.461	1839.594	1743.465	1817.444	1757.087	1813.838	1763.692	1760.307	1720.77	1586.913				
		1.2828	1.2626	1.2354	1.2088	1.2262	1.2132	1.2732	1.2336	1.2324	1.2836				
		1364.576	1607.203	1526.4	1634.06	1744.21	1700.541	1793.232	1760.266	1628.999	1466.08				
		1.4332	1.413	1.3954	1.3704	1.3862	1.3636	1.4236	1.3872	1.3828	1.446				
		1.456	1.678	1.852	1.808	1.712	1.664	1.835	1.746	1.947	1.819				
		1.594	1.573	1.5458	1.5184	1.5358	1.5236	1.5836	1.5368	1.5428	1.6036				
		1.47	1.766	1.946	1.925	2.014	2.068	1.996	2.008	1.9	1.799				
		1.7428	1.7226	1.6962	1.7488	1.687	1.7036	1.734	1.6896	1.6948	1.7828				
		1.474	1.536	1.836	2.34	2.241	2.653	2.077	2.085	2.161	1.862				
		1.8932	1.949	1.9194	1.8992	1.847	1.8548	1.886	1.8472	1.8932	1.9348				
		2.218	2.766	2.842	3.262	3.525	4.473	4.022	4.106	4.267	4.391				
		
	37.08	2.1732	2.2234	2.2138	2.1792	2.127	2.134	2.1644	2.128	2.1732	2.2268				
		1489.635	1670.6	1585.801	1564.887	1599.46	1602.127	1669.803	1660.007	1598.114	1485.775				
		2.3252	2.3746	2.3666	2.3392	2.2982	2.2844	2.3948	2.3584	2.3236	2.3852				
		1412.226	1693.474	1583.404	1694.041	1699.041	1681.499	1691.947	1730.809	1662.033	1515.756				
		2.494	2.5434	2.517	2.4896	2.467	2.4452	2.5556	2.528	2.4852	2.5444				
		1525.548	1828.49	1746.142	1816.439	1747.031	1793.285	1749.118	1742.518	1724.6	1589.415				
		2.6436	2.6938	2.6674	2.6496	2.6174	2.6932	2.7252	2.6888	2.634	2.6948				
		1363.042	1615.196	1525.467	1625.202	1730.926	1682.902	1776.146	1755.65	1637.705	1466.236				
		2.794	2.8442	2.8282	2.8208	2.7774	2.8452	2.8852	2.848	2.7844	2.9156				
		1.486	1.794	1.778	2.06	1.997	1.654	2.025	1.983	1.927	1.816				
		2.9548	3.0754	3.0466	2.9704	2.9382	3.0052	3.0356	3	2.9636	3.0652				
		1.506	1.885	1.867	1.792	2.041	2.329	1.933	1.847	1.959	1.869				
		3.1644	3.2242	3.197	3.1304	3.0878	3.1556	3.186	3.1584	3.1156	3.2156				
		1.546	1.886	1.959	2.14	2.092	2.97	2.06	2.063	1.879	2.077				
		3.3148	3.385	3.357	3.28	3.2918	3.3156	3.3892	3.3504	3.2748	3.3756				
		2.183	2.604	2.707	3.003	3.683	4.578	4.116	4.029	4.407	4.496				
		
	37.08	3.5948	3.6658	3.6594	3.5624	3.5686	3.5956	3.666	3.6296	3.5548	3.6564				
