##BLOCKS= 1          
Plate:	Plate#1	1.3	PlateFormat	FLEX	Fluorescence	TRUE	Raw	FALSE	237	360	1.52				1	565	1	10	96	530	Automatic	550			6	Medium			1	8	TimeTags	
	Temperature(¡C)	1	2	3	4	5	6	7	8	9	10	11	12		
	37.05	0.7748	0.748	0.7392	0.7422	0.7462	0.7446	0.7438	0.7402	0.7452	0.7472				
		548.25	477.718	402.893	418.741	444.025	347.464	322.666	380.107	428.594	261.552				
		0.9332	0.9312	0.8984	0.8906	0.9046	0.903	0.9026	0.899	0.9036	0.906				
		428.665	569.164	550.033	563.697	533.292	499.786	445.039	423.628	428.061	392.899				
		1.0932	1.0864	1.0476	1.041	1.0646	1.065	1.1322	1.0486	1.0636	1.0556				
		433.273	543.39	591.438	585.54	574.846	579.689	552.511	493.988	455.621	398				
		1.2434	1.2368	1.2532	1.2006	1.2158	1.213	1.2922	1.209	1.2844	1.206				
		495.727	652.416	584.541	542.941	527.312	452.286	445.176	452.574	430.38	410.213				
		1.4036	1.3968	1.408	1.439	1.375	1.4198	1.4426	1.3686	1.4444	1.4308				
		1660.622	1631.129	1723.378	1663.1	1734.704	1867.512	1667.063	1761.263	1619.739	1758.096				
		1.5636	1.548	1.5584	1.5918	1.535	1.5734	1.593	1.559	1.6044	1.586				
		1646.164	1657.605	1646.335	1705.373	1770.837	1818.424	1744.772	1659.864	1724.755	1596.616				
		1.7424	1.6972	1.7184	1.7514	1.7354	1.7234	1.753	1.7194	1.7548	1.7364				
		1804.878	1724.015	1775.977	1791.341	1800.906	1832.453	1760.627	1951.638	1609.249	1803.95				
		1.8942	1.8572	1.8784	1.9018	1.8958	1.8738	1.9026	1.8694	1.9148	1.8964				
		1639.101	1657.167	1627.593	1525.854	1646.008	1707.549	1620.134	1629.108	1572.224	1606.629				
		
	37.05	2.1746	2.1376	2.1592	2.1934	2.1858	2.1538	2.2134	2.1498	2.2724	2.1772				
		548.719	477.381	396.262	421.662	441.782	338.752	315.078	380.143	432.185	257.19				
		2.3562	2.2988	2.4008	2.3422	2.3462	2.3042	2.3642	2.311	2.4252	2.3372				
		425.187	570.158	556.915	560.309	528.464	498.634	445.794	424.93	422.37	394.265				
