##BLOCKS= 1          
Plate:	Plate#1	1.3	PlateFormat	FLEX	Fluorescence	TRUE	Raw	FALSE	198	300	1.52				1	565	1	12	96	530	Automatic	550			6	Medium			1	8	TimeTags	
	Temperature(¡C)	1	2	3	4	5	6	7	8	9	10	11	12		
	37.07	0.7408	0.81	0.7908	0.7466	0.748	0.7434	0.7484	0.741	0.7482	0.812	0.7638	0.8286		
		676.328	859.409	850.982	959.134	860.519	774.203	799.562	866.544	870.018	887.714	975.684	778.656		
		0.9672	0.9596	0.9396	0.969	0.9688	0.8922	0.97	0.8898	0.9306	0.972	0.9238	0.9774		
		731.255	1048.015	1020.581	1130.665	990.281	982.512	1033.241	1039.816	1053.203	1100.958	1136.516	909.624		
		1.1216	1.1084	1.09	1.1146	1.1176	1.0538	1.1268	1.0402	1.0858	1.132	1.0838	1.1294		
		1380.838	1456.323	1406.902	1427.558	1455.615	1468.847	1469.993	1523.509	1534.29	1443.613	1520.701	1602.434		
		1.272	1.2684	1.25	1.2666	1.2768	1.233	1.2868	1.2002	1.2362	1.2824	1.2326	1.2878		
		1425.752	1536.264	1351.553	1343.655	1426.479	1401.382	1460.288	1492.678	1547.624	1552.09	1606.618	1613.164		
		1.432	1.4188	1.4004	1.425	1.4368	1.3818	1.4372	1.3498	1.3962	1.4424	1.383	1.4382		
		2.32	3.805	3.009	3.418	4.265	2.893	4.519	2.573	6.284	2.619	2.725	6.839		
		1.592	1.5692	1.5508	1.5754	1.5864	1.5418	1.5884	1.5002	1.5482	1.6024	1.543	1.5886		
		2.637	3.528	2.874	2.778	3.092	3.592	3.566	3.092	2.552	2.835	2.507	2.743		
		1.7424	1.774	1.7532	1.7258	1.7368	1.6922	1.7476	1.7202	1.697	1.78	1.7318	1.7918		
		2.734	2.832	3.781	2.878	3.034	3.155	4.142	2.814	2.996	6.878	3.067	3.357		
		1.9024	1.9292	1.902	1.8874	1.8984	1.8426	1.9076	1.8706	1.857	1.932	1.8854	1.939		
		4.827	3.627	3.743	3.755	4.378	4.167	4.369	6.492	4.896	4.597	5.029	11.104		
		
	37.07	2.184	2.2092	2.1908	2.1762	2.1776	2.133	2.1876	2.1506	2.137	2.2136	2.1734	2.219		
		675.414	856.136	855.547	957.489	865.325	782.27	798.041	867.411	870.142	904.43	963.928	789.329		
		2.3528	2.3604	2.3412	2.3362	2.3376	2.3634	2.3652	2.3018	2.2986	2.3912	2.335	2.3694		
		732.303	1057.643	1017.23	1125.827	995.686	987.437	1035.161	1043.707	1053.744	1097.293	1128.694	897.815		
		2.5128	2.53	2.4924	2.4866	2.488	2.5234	2.518	2.4714	2.4682	2.5528	2.495	2.5198		
		1389.888	1443.327	1419.579	1432.618	1455.299	1453.836	1469.855	1529.056	1522.201	1451.146	1513.737	1608.005		
		2.6624	2.69	2.6612	2.6378	2.6552	2.673	2.678	2.7138	2.6186	2.7032	2.6646	2.6798		
		1421.744	1544.035	1352.8	1350.655	1429.886	1410.784	1454.32	1501.011	1555.633	1548.42	1604.441	1608.943		
		2.8232	2.9004	2.882	2.8074	2.808	2.8234	2.838	2.8618	2.7786	2.9128	2.8646	2.9198		
		2.392	3.906	2.975	3.372	4.238	2.752	4.725	2.397	6.311	2.713	2.528	6.553		
		2.984	3.062	3.042	2.957	2.9584	2.9834	2.9892	3.0218	2.9274	3.0648	3.015	3.0798		
		2.787	3.403	2.848	3.009	3.072	3.606	3.566	3.133	2.67	2.632	2.371	2.574		
