##BLOCKS= 1          
Plate:	Plate#1	1.3	PlateFormat	FLEX	Fluorescence	TRUE	Raw	FALSE	198	300	1.52				1	565	1	12	96	530	Automatic	550			6	Medium			1	8	TimeTags	
	Temperature(¡C)	1	2	3	4	5	6	7	8	9	10	11	12		
	37.06	0.744	0.7404	0.7946	0.7478	0.7392	0.7444	0.7426	0.7414	0.7456	0.7414	0.738	0.744		
		1297.664	1115.911	1102.152	1141.973	1203.359	1155.678	1132.889	1240.961	1113.386	1123.856	1257.657	1173.7		
		0.9624	0.8888	0.953	0.9062	0.8976	0.894	0.8914	0.891	0.9052	0.969	0.8964	0.968		
		1181.114	1125.612	1162.406	1164.545	1262.153	1186.764	1225.082	1251.823	1202.982	1154.773	1212.297	1223.193		
		1.1222	1.0392	1.1138	1.0562	1.0476	1.1232	1.1222	1.0402	1.0636	1.1198	1.0464	1.1224		
		1008.601	1060.721	999.831	1046.977	1026.345	1025.836	1156.966	1177.805	1105.57	1057.939	1156.612	1091.302		
		1.274	1.2818	1.263	1.2266	1.1992	1.2832	1.2714	1.1998	1.214	1.2798	1.2484	1.2744		
		1029.808	1167.938	1040.247	1086.036	1127.23	1137.674	1130.45	1135.781	1126.387	1009.662	1004.106	812.695		
		1.4328	1.4296	1.4134	1.3882	1.358	1.4332	1.4218	1.3502	1.3644	1.4298	1.4068	1.4328		
		968.408	1109.861	1009.324	1069.261	1146.605	1120.907	1133.255	1222.703	1262.387	1136.983	1203.454	1072.492		
		1.5928	1.5898	1.5734	1.5366	1.508	1.5848	1.5818	1.5006	1.5244	1.5802	1.5572	1.5928		
		973.473	1084.982	1045.114	1076.806	1132.256	1131.816	1120.083	1153.755	1156.895	1205.53	1113.828	1022.536		
		1.7428	1.7496	1.7626	1.687	1.6984	1.7436	1.7322	1.6958	1.7348	1.7402	1.7076	1.7432		
		538.917	1322.423	1082.21	1132.832	1165.875	1089.686	1228.931	1182.356	955.125	1087.814	1134.343	569.234		
		1.9494	1.9002	1.9152	1.8472	1.8584	1.894	1.8834	1.851	1.8948	1.8902	1.8684	1.9048		
		446.381	754.64	645.292	772.243	943.019	951.4	733.372	771.26	564.37	986.531	613.085	563.793		
		
	37.05	2.2336	2.191	2.194	2.232	2.1392	2.214	2.2122	2.131	2.1748	2.1706	2.2412	2.1836		
		1306.608	1124.332	1110.951	1128.406	1210.513	1163.982	1131.218	1255.962	1113.704	1137.004	1261.539	1177.342		
		2.3938	2.4106	2.3444	2.3876	2.2992	2.3764	2.3626	2.2822	2.3264	2.3206	2.398	2.334		
		1200.028	1119.419	1168.173	1169.98	1274.726	1161.671	1211.32	1253.454	1206.812	1156.132	1210.742	1218.604		
		2.5536	2.5708	2.5042	2.5376	2.4488	2.5348	2.5234	2.4518	2.4952	2.471	2.5484	2.4936		
		1007.185	1050.085	1002.489	1054.769	1035.677	1018.003	1158.08	1194.225	1107.245	1058.098	1158.001	1087.325		
		2.7052	2.7206	2.6664	2.698	2.5992	2.6948	2.693	2.6114	2.7232	2.631	2.7084	2.6452		
		1042.62	1167.989	1037.849	1091.201	1108.748	1145.337	1133.025	1131.333	1123.24	1011.188	1005.139	808.481		
		2.8742	2.871	2.8948	2.8598	2.7696	2.8452	2.8434	2.8214	2.876	2.7822	2.8684	2.8144		
		969.381	1115.154	1009.781	1054.971	1142.499	1118.922	1126.615	1204.985	1260.593	1141.267	1179.443	1070.958		
		3.0742	3.033	3.0548	3.0084	2.9196	3.0068	3.0034	2.983	3.0268	2.9318	3.0188	2.9744		
		980.199	1086.929	1029.691	1072.047	1121.566	1139.573	1116.297	1156.807	1169.997	1197.297	1115.113	1033.685		
		3.2248	3.1812	3.2052	3.1686	3.07	3.1872	3.1842	3.1422	3.1764	3.1254	3.1788	3.1648		
		539.943	1330.978	1082.286	1137.713	1169.238	1083.797	1221.068	1183.958	959.266	1097.681	1126.207	566.753		
		3.3856	3.4082	3.3654	3.3686	3.2296	3.3356	3.3438	3.2926	3.3364	3.2718	3.38	3.326		
		446.487	760.289	647.019	763.285	940.774	944.155	735.257	770.855	564.683	992.533	618.083	554.841		
		
	37.05	3.6752	3.6818	3.6456	3.649	3.512	3.6268	3.6238	3.5822	3.6176	3.5534	3.6692	3.6152		
		1299.924	1119.378	1101.162	1148.515	1224.655	1163.885	1119.372	1251.576	1105.023	1133.052	1263.283	1174.294		
		3.8352	3.8338	3.8796	3.809	3.6704	3.796	3.7742	3.8122	3.8564	3.7222	3.8192	3.7752		
		1185.468	1122.956	1168.661	1166.562	1263.824	1180.575	1221.998	1259.062	1210.981	1159.747	1226.786	1235.041		
		4.0648	3.9922	4.0378	3.9594	3.8408	3.9564	3.935	3.983	4.0068	3.8726	3.9708	3.9352		
		1012.912	1060.19	990.128	1046.031	1030.218	1029.371	1157.039	1174.068	1110.281	1054.159	1152.772	1084.709		
		4.2174	4.142	4.1962	4.1196	3.9908	4.116	4.1042	4.133	4.1572	4.0326	4.1396	4.164		
		1035.898	1161.1	1044.313	1086.042	1120.358	1138.967	1133.801	1128.618	1128.31	1013.027	1011.386	819.367		
		4.3756	4.2924	4.3562	4.3598	4.1524	4.3164	4.3146	4.2834	4.3172	4.2542	4.3692	4.336		
		965.33	1114.119	1004.659	1058.364	1149.835	1118.088	1133.154	1210.846	1266.324	1138.698	1207.554	1074.584		
		4.5256	4.5424	4.5062	4.5098	4.3008	4.4764	4.4746	4.4454	4.4692	4.4134	4.5204	4.4856		
		975.529	1078.968	1043.83	1077.917	1131.173	1128.414	1124.98	1152.289	1154.191	1198.641	1104.397	1022.586		
		4.6762	4.6926	4.6576	4.6698	4.4512	4.6268	4.6258	4.5934	4.6176	4.573	4.6812	4.636		
		542.416	1329.789	1087.11	1132.576	1172.169	1087.986	1236.801	1177.254	954.886	1083.368	1125.074	569.278		
		4.8372	4.843	4.8166	4.82	4.6112	4.778	4.7854	4.7438	4.8404	4.7234	4.83	4.798		
		448.874	760.46	639.217	771.514	945.504	958.758	729.494	764.056	562.472	986.804	613.233	555.734		
		
	37.05	5.2066	5.1244	5.097	5.1006	5.002	5.0668	5.0658	5.035	5.1372	5.0438	5.1108	5.0768		
		1303.182	1117.775	1101.733	1142.605	1219.686	1166.184	1132.977	1239.407	1110.901	1140.612	1266.041	1177.101		
		5.3666	5.2936	5.2574	5.2504	5.1616	5.3004	5.2994	5.2046	5.298	5.2422	5.2604	5.2864		
		1193.534	1120.526	1166.818	1159.616	1268.433	1182.368	1221.327	1246.395	1216.105	1151.806	1221.706	1225.1		
		5.5178	5.5348	5.4082	5.4808	5.312	5.4572	5.4474	5.3646	5.4484	5.3942	5.5212	5.4552		
		1002.901	1058.959	988.881	1049.426	1030.507	1021.792	1152.758	1171.069	1104.556	1057.628	1156.285	1081.453		
		5.687	5.6838	5.5776	5.6418	5.4724	5.6084	5.6058	5.5142	5.6084	5.5542	5.6812	5.6072		
		1035.138	1164.063	1045.346	1088.268	1126.156	1145.313	1129.076	1132.282	1121.252	1010.509	1009.607	808.572		
		5.837	5.8454	5.7376	5.791	5.6336	5.778	5.7662	5.6658	5.7696	5.7046	5.8316	5.7672		
		965.704	1115.912	1002.064	1052.173	1154.591	1105.064	1129.813	1213.082	1261.418	1133.762	1203.79	1066.731		
		5.9874	5.994	5.8876	5.9414	5.7828	5.938	5.9162	5.825	5.9692	5.8646	5.9916	5.9172		
		974.207	1087.227	1048.137	1079.823	1121.635	1134.604	1119.152	1147.22	1148.222	1209.212	1108.256	1029.035		
		6.1816	6.1444	6.079	6.1012	5.9928	6.088	6.0674	6.015	6.1292	6.0142	6.1524	6.0688		
		543.559	1326.452	1084.2	1126.959	1164.904	1094.498	1234.591	1173.179	957.623	1088.575	1123.408	571.131		
		6.3288	6.3044	6.238	6.2514	6.1428	6.2388	6.2266	6.1654	6.2788	6.1646	6.302	6.28		
		447.611	757.23	649.701	771.126	932.727	961.051	725.472	774.196	563.646	993.713	617.248	559.194		
		
	37.05	6.618	6.6648	6.5786	6.5918	6.5332	6.5584	6.547	6.5154	6.578	6.555	6.622	6.5584		
		1302.171	1111.244	1112.872	1149.415	1214.566	1169.399	1122.129	1252.119	1108.464	1133.324	1251.852	1178.943		
		6.778	6.8248	6.7386	6.7418	6.6836	6.7088	6.7078	6.6658	6.7396	6.7054	6.7724	6.718		
		1194.235	1123.648	1169.21	1159.585	1264.663	1179.698	1225.657	1250.819	1210.24	1137.367	1210.641	1226.832		
		6.9284	6.975	6.8906	6.9022	6.844	6.8688	6.877	6.8254	6.9568	6.8654	6.9516	6.8704		
		1006.107	1054.991	986.264	1054.192	1031.962	1018.013	1165.343	1177.111	1106.609	1055.284	1143.364	1087.777		
		7.107	7.1254	7.0746	7.0622	7.0448	7.0188	7.0274	7.0062	7.11	7.0154	7.1024	7.0288		
		1028.719	1161.331	1043.863	1090.134	1115.639	1137.666	1135.082	1135.356	1132.542	1011.754	1002.752	810.106		
		7.3084	7.2852	7.229	7.2126	7.194	7.1692	7.1874	7.1574	7.2616	7.1658	7.2528	7.1888		
		965.277	1110.008	1006.984	1054.499	1157.95	1115.555	1129.773	1213.011	1259.508	1138.39	1198.358	1070.295		
		7.4588	7.4354	7.3794	7.3728	7.3544	7.3292	7.3386	7.3162	7.4204	7.3678	7.4132	7.4088		
		974.22	1088.067	1036.226	1086.337	1125.227	1132.679	1115.769	1148.228	1161.535	1202.279	1109.263	1020.47		
		7.6188	7.652	7.5396	7.6128	7.504	7.5196	7.5082	7.4662	7.5804	7.5158	7.6444	7.5692		
		543.664	1325.992	1083.434	1135.708	1166.162	1093.568	1226.91	1181.976	954.92	1090.212	1120.232	565.957		
		7.7702	7.8058	7.6994	7.7632	7.6556	7.6812	7.6678	7.6166	7.7308	7.6662	7.8036	7.7192		
		451.192	755.335	640.468	772.764	941.616	950.48	732.396	768.009	568.222	990.709	611.176	556.021		
		
