##BLOCKS= 1          
Plate:	Plate#1	1.3	PlateFormat	FLEX	Fluorescence	TRUE	Raw	FALSE	132	200	1.52				1	565	1	7	96	530	Automatic	550			6	Medium			1	8	TimeTags	
	Temperature(¡C)	1	2	3	4	5	6	7	8	9	10	11	12		
	37.00	0.7458	0.7472	0.7442	0.7462	0.7414	0.7426	0.7446							
		182.437	197.516	193.958	210.644	198.698	186.228	186.129							
		0.8942	0.9066	0.8922	0.9046	0.8898	0.891	0.9036							
		169.376	201.112	190.437	194.27	189.435	175.572	180.194							
		1.1256	1.0556	1.1228	1.0644	1.0402	1.0416	1.1332							
		142.165	174.263	195	195.403	170.698	164.135	178.252							
		1.2846	1.206	1.2826	1.2348	1.2012	1.2014	1.2932							
		164.458	193.692	209.044	203.773	187.18	186.257	194.526							
		1.4342	1.3862	1.4328	1.395	1.4102	1.4418	1.4432							
		115.977	189.585	190.007	149.7	179.688	121.673	179.83							
		1.5952	1.536	1.5832	1.555	1.5606	1.602	1.5946							
		137.283	155.026	183.802	189.516	175.679	178.22	200.193							
		1.755	1.6878	1.7432	1.7054	1.7206	1.752	1.7536							
		176.864	175.347	179.774	185.658	192.78	189.976	196.583							
		1.9054	1.8466	1.8942	1.8656	1.8708	1.9024	1.9038							
		184.396	174.088	162.309	183.104	158.837	148.591	174.478							
		
	37.01	2.2154	2.127	2.2136	2.2258	2.151	2.1924	2.214							
		182.334	198.983	194.803	210.231	199.368	187.873	186.174							
		2.366	2.288	2.3638	2.386	2.3012	2.4258	2.3822							
		168.968	198.196	192.284	193.526	187.576	174.125	182.663							
		2.527	2.477	2.5142	2.536	2.4716	2.5944	2.5346							
		141.56	173.804	194.202	198.356	170.088	165.354	179.32							
		2.706	2.6274	2.6858	2.6874	2.6316	2.743	2.6946							
		165.64	190.842	205.836	202.229	190.184	185.61	199.071							
		2.8564	2.7876	2.8342	2.8466	2.7816	2.8934	2.8446							
		118.453	187.123	190.452	146.983	179.616	121.911	179.8							
		3.0164	2.9384	2.9846	2.9964	2.932	3.0532	2.996							
		138.263	152.911	182.71	188.083	174.05	178.96	200.927							
		3.2584	3.0878	3.1872	3.1468	3.092	3.2046	3.188							
		177.368	177.185	183.175	184.185	194.141	189.095	193.238							
		3.4168	3.248	3.3366	3.3568	3.2422	3.3638	3.3352							
		184.952	176.34	163.201	182.63	159.891	149.294	170.119							
		
	37.01	3.697	3.5582	3.625	3.6372	3.5924	3.6438	3.6154							
		182.769	199.649	191.965	210.652	199.624	187.846	186.695							
		3.8474	3.7354	3.7752	3.7972	3.7426	3.7942	3.7836							
		166.634	201.031	190.895	194.101	188.636	176.405	183.921							
		4.019	3.8884	3.9266	3.9474	3.893	3.9552	3.936							
		140.051	175.797	193.766	195.598	169.185	162.473	178.174							
		4.246	4.0388	4.0954	4.0988	4.053	4.1244	4.096							
		165.181	192.676	205.196	200.699	189.487	184.588	195.29							
		4.398	4.199	4.316	4.3402	4.2032	4.2748	4.3164							
		118.135	184.906	191.375	149.799	180.329	121.282	180.661							
		4.5578	4.3498	4.476	4.4882	4.3534	4.4346	4.4766							
		137.482	155.046	185.252	190.824	174.703	178.771	202.314							
		4.7082	4.5362	4.6372	4.6484	4.5462	4.626	4.6364							
		174.391	176.026	181.772	186.43	191.909	191.186	196.365							
		4.8684	4.6892	4.7864	4.8092	4.6936	4.7852	4.7868							
		184.26	174.038	162.664	182.558	158.4	146.652	174.522							
		
	37.01	5.1486	4.9896	5.0764	5.099	5.104	5.1156	5.0778							
		182.281	195.989	194.576	213.096	200.771	188.196	188.543							
		5.3958	5.1514	5.3044	5.2588	5.2544	5.2758	5.3046							
		167.589	200.311	189.851	192.645	189.823	174.125	182.041							
		5.5488	5.2998	5.4586	5.4692	5.4142	5.4374	5.4574							
		141.179	174.924	194.515	195.378	170.56	162.052	178.437							
		5.6992	5.4502	5.607	5.631	5.6058	5.6238	5.6074							
		166.03	193.066	208.046	202.004	187.71	185.247	193.885							
		5.859	5.6602	5.7574	5.7792	5.7648	5.7764	5.7578							
		118.562	186.466	190.854	147.568	180.761	122.273	181.124							
		6.0102	5.8102	5.9174	5.9296	5.9248	5.9362	5.9198							
		137.399	156.376	184.168	191.602	174.947	177.032	199.807							
		6.1596	5.9606	6.0684	6.0898	6.075	6.0882	6.068							
		176.615	175.734	183.83	183.713	192.738	192.899	195.396							
		6.3628	6.1206	6.2178	6.251	6.2264	6.2466	6.2182							
		183.86	177.04	162.623	183.806	159.43	148.261	171.518							
		
	37.03	6.64	6.523	6.558	6.5702	6.663	6.6838	6.5864							
		180.231	197.193	193.105	210.607	200.615	187.21	188.164							
		6.8118	6.7212	6.7082	6.7202	6.8158	6.857	6.7388							
		168.592	200.002	187.634	192.302	189.381	172.085	181.099							
		6.9602	6.8716	6.87	6.8706	6.9668	7.0074	6.8988							
		141.6	173.004	196.24	196.687	168.055	162.792	177.377							
		7.1106	7.0316	7.0184	7.0324	7.1362	7.1676	7.0488							
		165.894	191.499	205.934	201.2	188.107	185.927	193.95							
		7.2704	7.1816	7.1688	7.1806	7.2962	7.3276	7.2004							
		117.487	184.912	189.254	148.212	181.012	120.379	181.957							
		7.491	7.332	7.3286	7.331	7.4464	7.479	7.4316							
		137.098	154.768	184.482	189.376	177.161	179.48	201.16							
		7.6512	7.492	7.5104	7.5252	7.5978	7.638	7.5798							
		176.696	176.148	182.205	184.442	192.736	191.067	195.525							
		7.811	7.7114	7.6692	7.6712	7.7966	7.818	7.7398							
		185.587	173.87	164.655	182.771	156.889	149.191	173.927							
		
	37.03	8.0926	8.0326	8.0806	8.0914	8.1472	8.1694	8.0902							
		181.826	201.478	193.596	208.068	201.163	186.105	188.205							
		8.2614	8.1828	8.2498	8.2418	8.3082	8.3386	8.2504							
		167.027	200.86	190.574	190.923	188.145	173.86	181.561							
		8.4894	8.343	8.3998	8.402	8.4776	8.489	8.4002							
		139.887	173.235	193.676	195.666	168.994	163.117	177.512							
		8.6422	8.503	8.5702	8.5838	8.6378	8.6488	8.5616							
		164.202	191.124	205.207	200.983	191.808	183.928	192.905							
		8.7932	8.6534	8.73	8.7324	8.8578	8.8794	8.7208							
		117.808	186.777	191.741	148.468	181.557	122.914	180.008							
		8.9424	8.8436	8.8812	8.8926	9.0092	9.0394	8.8706							
		138.018	155.158	185.437	188.389	173.985	176.489	201.613							
		9.1026	9.0034	9.0306	9.0524	9.168	9.1994	9.021							
		176.855	174.921	181.812	184.973	195.324	190.087	194.246							
		9.2524	9.1538	9.1908	9.2038	9.3182	9.3498	9.1814							
		186.191	175.33	163.259	183.435	159.914	147.613	171.714							
		
	37.03	9.6728	9.554	9.688	9.6422	9.6864	9.6808	9.6616							
		179.258	197.774	194.674	209.579	201.376	189.49	185.221							
		9.8234	9.7044	9.8412	9.7944	9.929	9.9304	9.8116							
		168.028	201.81	190.239	192.732	190.096	176.774	179.687							
		9.9834	9.9044	9.9916	9.9634	10.089	10.0902	9.962							
		143.567	173.899	196.853	198.112	168.485	160.862	176.139							
		10.1444	10.0562	10.1516	10.1138	10.2392	10.2404	10.1222							
		163.287	192.064	205.919	202.526	189.056	182.771	193.102							
		10.2938	10.215	10.3026	10.274	10.3914	10.3922	10.2722							
		117.018	185.912	190.299	148.628	180.579	122.147	180.271							
		10.454	10.3748	10.452	10.4338	10.5494	10.5508	10.4226							
		137.164	155.975	183.041	191.103	175.813	176.984	200.852							
		10.694	10.5254	10.6922	10.5852	10.6996	10.701	10.6164							
		177.006	177.548	180.619	185.311	193.02	191.424	193.453							
		10.8452	10.6864	10.8424	10.7744	10.9162	10.9256	10.7636							
		182.267	174.911	161.556	181.033	158.693	149.281	172.358							
		
	37.03	11.1844	11.0758	11.1926	11.1248	11.19	11.2016	11.183							
		181.312	198.725	195.81	208.991	198.589	191.291	187.845							
		11.3348	11.2358	11.343	11.2964	11.3404	11.3618	11.3334							
		167.787	201.72	190.574	194.652	188.239	174.148	181.445							
		11.4948	11.3868	11.5032	11.4448	11.5004	11.5218	11.4946							
		141.48	175.928	194.009	196.88	169.658	163.775	178.944							
		11.6866	11.5562	11.6838	11.5952	11.6506	11.6722	11.7436							
		166.251	192.699	208.023	202.909	189.401	185.71	193.623							
		11.8454	11.7162	11.8352	11.8352	11.8008	11.8324	11.894							
		117.195	187.656	187.047	149.375	182.741	123.728	180.864							
		12.0052	11.8664	11.9934	11.9856	12.041	12.0522	12.054							
		138.571	152.832	185.003	189.478	174.289	177.677	199.66							
		12.1556	12.0368	12.1434	12.1458	12.1914	12.2026	12.2052							
		177.393	178.448	180.35	185.134	194.375	194.016	195.003							
		12.3172	12.1976	12.294	12.3058	12.3514	12.3626	12.3644							
		184.224	173.205	161.139	181.041	157.53	146.162	172.188							
		
	37.04	12.7426	12.5974	12.7422	12.6634	12.7118	12.7232	12.7332							
		182.206	198.633	195.054	212.932	202.62	189.666	188.498							
		12.8962	12.7472	12.8946	12.8966	12.872	12.883	12.903							
		168.412	200.4	192.893	193.841	188.946	173.815	180.694							
		13.0472	12.9094	13.0444	13.0568	13.102	13.1136	13.0548							
		141.024	175.479	193.72	196.347	172.171	162.937	176.599							
		13.2168	13.1076	13.1958	13.2166	13.2524	13.2756	13.2052							
		164.684	191.443	204.559	200.993	186.335	184.556	196.704							
		13.3766	13.2578	13.355	13.3688	13.4122	13.4236	13.3654							
		118.242	186.059	190.032	148.914	180.693	122.494	180.571							
		13.5268	13.408	13.5148	13.5272	13.5624	13.574	13.5264							
		138.466	155.111	182.732	188.832	172.678	176.94	202.281							
		13.6782	13.568	13.6652	13.687	13.713	13.7342	13.6758							
		175.761	174.747	181.965	186.107	193.946	191.634	195.547							
		13.877	13.7182	13.8752	13.8854	13.8738	13.884	13.8658							
		184.218	173.189	162.255	181.563	156.374	148.935	173.312							
		
	37.04	14.2278	14.1896	14.2258	14.1676	14.2334	14.2444	14.2162							
		180.935	196.625	192.88	209.362	200.592	186.522	187.637							
		14.3786	14.3592	14.3858	14.318	14.3932	14.3946	14.3762							
		169.08	201.369	191.03	193.125	191.112	175.457	180.86							
		14.548	14.519	14.5358	14.4782	14.5436	14.545	14.5264							
		139.922	173.019	192.323	197.678	169.297	163.472	177.296							
		14.7082	14.6692	14.6872	14.639	14.7056	14.7058	14.6768							
		163.738	191.108	206.394	200.716	189.557	184.795	193.153							
		14.9382	14.8206	14.9264	14.7884	14.8638	14.855	14.8598							
		117.647	186.224	189.769	147.874	180.28	122.902	181.532							
		15.0892	14.9794	15.0766	15.0084	15.0142	15.0054	15.008							
		138.93	152.979	184.835	188.706	176.212	178.453	201.72							
		15.2384	15.1594	15.2368	15.1586	15.224	15.2354	15.1672							
		175.641	176.076	182.429	185.374	190.21	190.86	193.941							
		15.3886	15.3102	15.3878	15.309	15.3742	15.3858	15.3272							
		186.279	175.734	164.87	182.297	159.291	149.523	171.906							
		
	37.04	15.76	15.6466	15.7572	15.689	15.7546	15.756	15.7486							
		179.921	200.054	195.695	216.001	202.226	187.83	188.848							
		15.9994	15.8006	15.9876	15.8394	15.9048	15.9064	15.988							
		167.686	200.343	190.813	191.726	188.139	173.139	178.789							
		16.1594	15.9604	16.1488	16.0708	16.067	16.0664	16.1482							
		140.371	175.218	197.319	196.038	170.035	162.476	176.78							
		16.3096	16.1106	16.3176	16.2198	16.2852	16.2964	16.3082							
		163.957	191.485	204.81	204.003	188.624	184.374	193.298							
		16.461	16.292	16.468	16.38	16.4356	16.447	16.46							
		117.66	185.299	190.038	149.243	181.883	122.444	180.056							
		16.6198	16.451	16.6282	16.53	16.5958	16.6068	16.6188							
		138.803	155.293	183.03	188.712	176.27	178.095	200.003							
		16.77	16.6014	16.7882	16.6814	16.7456	16.757	16.7786							
		176.729	177.192	183.466	184.737	190.914	191.568	194.817							
		16.986	16.7616	16.976	16.8404	16.8962	16.9084	16.9764							
		182.692	173.745	163.322	181.838	159.052	146.771	171.7							
		
	37.04	17.2826	17.1518	17.2686	17.2108	17.3474	17.296	17.259							
		182.077	199.492	195.057	210.67	201.929	187.618	187.48							
		17.441	17.3618	17.419	17.3718	17.5168	17.448	17.4094							
		167.552	201.79	191.066	190.944	189.894	175.249	181.081							
		17.6008	17.512	17.596	17.541	17.6766	17.6088	17.5696							
		141.499	172.701	194.039	195.157	171.078	162.977	177.866							
		17.751	17.6624	17.749	17.6914	17.827	17.7782	17.7296							
		161.59	192.043	204.718	201.665	187.639	185.776	195.377							
		17.9014	17.8236	17.8996	17.8512	17.988	17.9384	17.8818							
		118.079	186.574	185.587	148.749	180.128	120.671	180.428							
		18.1114	17.9724	18.1094	18.0014	18.137	18.0882	18.1							
		139.128	154.792	184.266	188.148	173.971	174.797	203.334							
		18.2618	18.123	18.2608	18.2032	18.3346	18.2386	18.25							
		177.427	177.842	182.701	184.173	192.227	190.008	195.404							
		18.4218	18.3444	18.42	18.3618	18.4876	18.4286	18.4004							
		184.64	175.747	162.607	183.022	157.306	148.198	172.196							
		
	37.04	18.804	18.6734	18.7904	18.7324	18.8054	18.7994	18.7808							
		182.156	198.642	193.803	212.079	200.126	189.151	186.731							
		18.9622	18.8232	18.9724	18.8944	18.9578	18.9602	18.941							
		168.354	200.963	191.421	194.517	188.205	173.005	178.857							
		19.1726	18.9736	19.1606	19.0528	19.108	19.1296	19.161							
		139.783	175.673	195.57	195.946	170.801	161.872	179.42							
		19.3338	19.134	19.3108	19.2626	19.2584	19.2898	19.3126							
		164.003	191.858	207.75	200.716	191.063	183.619	195.779							
		19.4928	19.2838	19.4708	19.4128	19.4692	19.4896	19.4714							
		117.953	185.363	191.842	149.796	180.223	121.188	180.141							
		19.6432	19.4742	19.623	19.5632	19.6184	19.64	19.6214							
		138.153	155.604	186.097	192.401	174.188	177.047	203.504							
		19.8032	19.6342	19.7814	19.7232	19.769	19.802	19.772							
		178.631	176.908	183.835	185.326	191.431	190.804	196.999							
		19.9632	19.7842	19.9412	19.8734	19.9288	19.9502	19.933							
		184.92	174.66	165.542	184.698	157.097	146.817	170.531							
		
	37.06	20.3238	20.2046	20.3136	20.3538	20.3094	20.3306	20.3024							
		181.689	199.249	195.171	209.289	201.281	188.734	187.873							
		20.4736	20.355	20.4718	20.5042	20.5194	20.561	20.4622							
		166.83	201.844	191.41	192.886	189.587	174.708	181.639							
		20.624	20.5452	20.622	20.6642	20.6698	20.7212	20.6124							
		141.466	174.007	197.332	194.944	172.255	162.781	176.641							
		20.7852	20.6964	20.7724	20.8154	20.8306	20.881	20.7646							
		166.129	189.913	206.796	201.689	190.493	184.448	191.627							
		20.9342	20.8456	20.9336	20.9746	20.9798	21.0316	20.9228							
		118.511	187.022	188.802	148.568	180.596	119.979	182.158							
		21.0846	21.0058	21.0824	21.1346	21.1302	21.1934	21.0728							
		138.497	154.06	184.952	188.963	174.705	179.898	201.975							
		21.2944	21.1556	21.2928	21.324	21.2904	21.3416	21.2934							
		177.195	177.434	180.765	188.234	192.237	188.935	195.202							
		21.4446	21.307	21.4528	21.4752	21.5098	21.5492	21.4532							
		186.178	175.946	163.739	184.9	157.906	148.278	173.108							
		
	37.06	21.845	21.7162	21.8332	21.7552	21.8306	21.842	21.8236							
		180.604	200.155	194.456	211.892	201.815	187.133	188.172							
		21.9954	21.8666	21.9834	21.9056	21.9808	21.9942	21.9738							
		167.703	202.249	190.713	193.82	187.216	175.716	181.125							
		22.1556	22.0276	22.1338	22.0654	22.1312	22.1526	22.136							
		140.974	175.342	194.916	197.242	170.756	162.196	178.89							
		22.3656	22.197	22.355	22.2156	22.2922	22.3026	22.3442							
		165.465	191.763	203.336	202.045	190.488	187.778	193.797							
		22.516	22.357	22.5042	22.4462	22.4412	22.4528	22.4944							
		116.906	187.726	188.805	148.234	180.704	120.774	179.73							
		22.6758	22.517	22.6642	22.596	22.6418	22.6828	22.6446							
		138.537	153.049	184.714	188.69	173.852	178.246	202.796							
		22.826	22.6884	22.8242	22.7464	22.8016	22.833	22.8046							
		175.658	176.653	182.9	185.282	192.338	192.538	196.089							
		22.9776	22.8476	22.9756	22.9066	22.953	22.9834	22.9548							
		187.346	176.256	162.537	182.185	155.155	148.771	171.921							
		
	37.06	23.447	23.238	23.435	23.287	23.3422	23.3756	23.4266							
		178.98	198.928	195.069	211.055	199.856	188.004	187.429							
		23.607	23.3988	23.5952	23.507	23.4926	23.534	23.5956							
		166.811	202.6	191.785	192.093	188.176	172.951	181.915							
		23.758	23.568	23.7722	23.6574	23.7036	23.744	23.7556							
		142.61	174.928	196.087	195.503	168.091	162.387	177.416							
		23.9274	23.7484	23.9256	23.8192	23.873	23.8944	23.906							
		164.326	193.46	204.726	199.62	189.779	186.04	192.853							
